\ACT\PROCEDURE\09\;ICD-9-CM Procedures;(null);Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\;Operations on the respiratory system;ICD9:30-34.99;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\;OPERATIONS ON THE RESPIRATORY SYSTEM;ICD9:30-34.99;Surgical Procedure;1
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\;Excision of larynx;ICD9:30;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.0) Excisio~f37u\;Excision or destruction of lesion or tissue of larynx;ICD9:30.0;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.0) Excisio~f37u\(30.01) Marsup~rfe8\;Marsupialization of laryngeal cyst;ICD9:30.01;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.0) Excisio~f37u\(30.09) Other~hh25\;Other excision or destruction of lesion or tissue of larynx;ICD9:30.09;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.1) Hemilar~nhe7\;Hemilaryngectomy;ICD9:30.1;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.2) Other p~z2ui\;Other partial laryngectomy;ICD9:30.2;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.2) Other p~z2ui\(30.21) Epiglo~59cf\;Epiglottidectomy;ICD9:30.21;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.2) Other p~z2ui\(30.22) Vocal~5717\;Vocal cordectomy;ICD9:30.22;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.2) Other p~z2ui\(30.29) Other~xtgx\;Other partial laryngectomy;ICD9:30.29;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.3) Complet~c4mq\;Complete laryngectomy;ICD9:30.3;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(30) Excision~54wt\(30.4) Radical~d3hf\;Radical laryngectomy;ICD9:30.4;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(31) Other ope~c4n9\;Other operations on larynx and trachea;ICD9:31;Surgical Procedure;0
\ACT\PROCEDURE\09\(30-34.99) Ope~196z\(31) Other ope~c4n9\(31.0) Injecti~4hfq\;Injection of larynx;ICD9:31.0;Surgical Procedure;0
